MATRICULA,COORD. X,COORD. Y
14820986,0,0
0,0,0
726109,0,0
735868,-2.5273865900000000,-44.2216716000000000
1008234,0,0
159450,-2.5317348000000000,-44.2817091000000000
647942,-2.5324881900000000,-44.2371136000000000
13060821,-2.5006278000000000,-44.2449705000000000
13634569,-2.4875763000000000,-44.2564919000000000
739880,-2.5529063000000000,-44.2360862000000000
68586,-2.5350426900000000,-44.2935468000000000
74497,-2.5376725000000000,-44.2971106900000000
79146,-2.5376574000000000,-44.2945222000000000
83909,-2.5389308000000000,-44.2951959000000000
180165,-2.5375176900000000,-44.2909126900000000
1513702,-2.5238420900000000,-44.2613923900000000
13634887,-2.4870068900000000,-44.2577043000000000
2149001,-2.4839658000000000,-44.2350910900000000
651397,-2.5308825900000000,-44.2390351000000000
3372553,-2.5454824900000000,-44.3301331900000000
499137,-2.5535687000000000,-44.2617656900000000
116378,-2.5312280900000000,-44.2873232900000000
1589407,-2.5577399900000000,-44.2426699900000000
7194102,-2.5724795000000000,-44.2069048900000000
992950,-2.5544706000000000,-44.3282518900000000
745650,-2.5674299900000000,-44.2362549900000000
4549325,-2.5898216000000000,-44.1945660000000000
1269275,-2.5414104000000000,-44.2192799900000000
736260,-2.5278569000000000,-44.2217804000000000
736538,-2.5284133900000000,-44.2227400000000000
14821222,0,0
12024503,-2.6907396900000000,-44.3014603000000000
0,0,0
14821087,0,0
0,0,0
0,0,0
14821028,0,0
13634941,-2.4876490000000000,-44.2553684000000000
899089,-2.5096303900000000,-44.2938467000000000
1514741,-2.5551395000000000,-44.3238686900000000
504564,-2.5501613000000000,-44.2544611000000000
58920,-2.5306934000000000,-44.2914753000000000
9745734,-2.5075731900000000,-44.2585880000000000
3409252,-2.5225721000000000,-44.2425077900000000
867470,-2.4912882900000000,-44.2306250000000000
1930737,-2.4872771000000000,-44.2434377000000000
297976,-2.5341219900000000,-44.2695215000000000
2629399,-2.5867312000000000,-44.2003129000000000
33677,-2.5306931900000000,-44.2978743900000000
35920,-2.5315693900000000,-44.2987071000000000
4463684,-2.5457648900000000,-44.3288068000000000
14830663,0,0
905089,-2.5003522000000000,-44.2920906000000000
13641379,-2.6733128000000000,-44.2731069000000000
1049330,-2.5484214000000000,-44.2142076000000000
14152819,-2.5503393000000000,-44.3071884000000000
145939,-2.5333847000000000,-44.2822582000000000
29424,-2.5300259000000000,-44.3011929900000000
0,0,0
389870,-2.5354752000000000,-44.2596333900000000
2133679,-2.5892460000000000,-44.1917882900000000
132500,-2.5301830000000000,-44.2847032000000000
2118890,-2.5844461900000000,-44.1933176000000000
115070,-2.5424307000000000,-44.2925729000000000
930610,-2.5092729900000000,-44.3040585900000000
13068970,-2.5056539900000000,-44.2843172900000000
11319640,-2.5146201900000000,-44.2457879900000000
4467930,-2.5618335000000000,-44.3343928900000000
1195603,-2.5788704900000000,-44.2004366900000000
1203070,-2.5804341000000000,-44.2036475000000000
146110,-2.5331253000000000,-44.2834622900000000
1185497,-2.5808745000000000,-44.2045874000000000
1198572,-2.5792066900000000,-44.2012114900000000
1200267,-2.5804046900000000,-44.2023343900000000
3257738,-2.5434185900000000,-44.3319370900000000
844365,-2.5570276900000000,-44.2370082900000000
14422751,-2.5364699000000000,-44.2222050900000000
2371243,-2.5444456900000000,-44.2691031000000000
758426,-2.5736294000000000,-44.2257906900000000
2648504,-2.5849223000000000,-44.1947600000000000
9502378,-2.5853598900000000,-44.1986996900000000
1203100,-2.5803606000000000,-44.2036707000000000
3932087,-2.5485742000000000,-44.2219558900000000
184519,-2.5342543000000000,-44.2858677900000000
202703,-2.5362942900000000,-44.2824771000000000
14793300,0,0
13911023,-2.4867631000000000,-44.2550466000000000
13911520,-2.4865764900000000,-44.2562218900000000
3409252,-2.5225721000000000,-44.2425077900000000
1903497,-2.4985902000000000,-44.3105551000000000
13635239,-2.4875843900000000,-44.2592268000000000
1503405,-2.5924543900000000,-44.2489620900000000
14830167,0,0
10789081,-2.5918871000000000,-44.1792323900000000
823155,-2.5613089000000000,-44.2300956900000000
13134086,-2.6018881000000000,-44.3051299900000000
1506471,-2.5922033900000000,-44.2472550900000000
12718394,-2.5474671900000000,-44.2115860900000000
864340,-2.4885023900000000,-44.2332184900000000
1284738,-2.5281863000000000,-44.2376244000000000
534242,-2.5480621900000000,-44.2501740000000000
1162632,-2.5716994900000000,-44.3089482000000000
10016236,-2.5195533000000000,-44.2365266900000000
